indicator,siteCode,DATIM,KHIS,NDW,concordance_KHIS_to_DATIM,concordance_KHIS_to_NDW
HTS_TST_POS,11785,2.0,3.0,3.0,66.66666666666666,100.0
HTS_TST_POS,11787,1.0,8.0,8.0,12.5,100.0
HTS_TST_POS,11789,2.0,2.0,2.0,100.0,100.0
HTS_TST_POS,1179,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11797,0.0,5.0,0.0,0.0,0.0
HTS_TST_POS,1180,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11805,1.0,1.0,1.0,100.0,100.0
HTS_TST_POS,11817,0.0,4.0,4.0,0.0,100.0
HTS_TST_POS,11818,3.0,12.0,13.0,25.0,108.33333333333333
HTS_TST_POS,11826,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11828,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11829,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,1183,1.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11830,1.0,2.0,0.0,50.0,0.0
HTS_TST_POS,11836,1.0,1.0,0.0,100.0,0.0
HTS_TST_POS,11838,1.0,6.0,6.0,16.666666666666664,100.0
HTS_TST_POS,11839,2.0,2.0,0.0,100.0,0.0
HTS_TST_POS,1184,0.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11840,4.0,15.0,15.0,26.666666666666668,100.0
HTS_TST_POS,11843,9.0,10.0,10.0,90.0,100.0
HTS_TST_POS,11846,0.0,1.0,0.0,0.0,0.0
HTS_TST_POS,11848,0.0,5.0,0.0,0.0,0.0
HTS_TST_POS,1185,2.0,0.0,0.0,0.0,0.0
HTS_TST_POS,11851,3.0,3.0,3.0,100.0,100.0
HTS_TST_POS,11853,4.0,5.0,1.0,80.0,20.0
HTS_TST_POS,11854,0.0,5.0,5.0,0.0,100.0
